,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58,Feature 59,Feature 60,Feature 61,Feature 62,Feature 63,Feature 64,Feature 65,Feature 66,Feature 67,Feature 68,Feature 69,Feature 70,Feature 71,Feature 72,Feature 73,Feature 74,Feature 75,Feature 76,Feature 77,Feature 78,Feature 79,Feature 80,Feature 81,Feature 82,Feature 83,Feature 84,Feature 85,Feature 86,Feature 87,Feature 88,Feature 89,Feature 90,Feature 91,Feature 92,Feature 93,Feature 94,Feature 95,Feature 96,Feature 97,Feature 98,Feature 99,Feature 100,Feature 101,Feature 102,Feature 103,Feature 104,Feature 105,Feature 106,Feature 107,Feature 108
P 84,customer_type_colorbar,visitor_age,total_pages,pages_notloggedin,predicted_future_ltr_10yr,"HAIR_COLOR_\black\""""",pages_shop,state,"NATURAL_HAIR_COLOR_\blonde\""""",pages_cart,pages_hair-color,pages_welcome,pages_confirmation,device_tablet,pages_compare-shades,pages_how-to-color-your-hair,utm_other,pages_product,browser_firefox,browser_ie,pages_hair-color-chart,browser_chrome,device_mobile,pages_color-translator,pages_shopping,FREQUENCY_7,FREQUENCY_8,pages_search,pages_blog,medium_organic,utm_iterable,pages_share,medium_none,utm_direct,"NATURAL_HAIR_COLOR_\red\""""",medium_email,"GRAY_LEVEL_\all\""""",pages_faqs,pages_other,pages_hair-colorist,order_type_renewal,pages_about,browser_other,utm_google,order_type_one-time,"COMFORT_LEVEL_\somewhat_comfortable\""""","COMFORT_LEVEL_\comfortable\""""",medium_fbigan,FREQUENCY_5,pages_refer,medium_cpc,"GRAY_LEVEL_\not_sure\""""",pages_hair-dye-ingredients,pages_checkout,"COMFORT_LEVEL_\very_comfortable\""""",browser_facebook,FREQUENCY_6,order_type_subscription,"COMFORT_LEVEL_\not_comfortable\""""","DO_WITH_HAIR_\color_and_highlights\""""","GRAY_LEVEL_\more_than_50\""""","DO_WITH_HAIR_\not_sure\""""",pages_learn-more,pages_support,"HAIR_COLOR_\brown\""""",city,pages_membership,utm_bronto,pages_landing,revenue,total_customer_type,total_order_type,FREQUENCY_2,"DO_WITH_HAIR_\highlight_only\""""",purchases,FREQUENCY_4,"NATURAL_HAIR_COLOR_\brown\""""","COLOR_WHERE_\salon_and_home\""""","HAIR_COLOR_\red\""""",FREQUENCY_12,"DO_WITH_HAIR_\touch_up\""""",medium_other,"COLOR_WHERE_\at_salon\""""","GRAY_LEVEL_\no_gray\""""",FREQUENCY_3,"GRAY_LEVEL_\less_than_50\""""",FREQUENCY_other,"COLOR_WHERE_\at_home\""""",pages_color-advisor,utm_facebook,customer_type_other,"DO_WITH_HAIR_\change\""""",customer_type_color,country,device_desktop,browser_safari,latitude,customer_type_rootreboot,pages_signIn,customer_type_gloss,pages_email-unsubscribe,"HAIR_COLOR_\blonde\""""",longitude,pages_account,"NATURAL_HAIR_COLOR_\black\""""",avg_session_length,pages_colorbar,visit_count
P 85,"NATURAL_HAIR_COLOR_\black\""""",order_type_renewal,"HAIR_COLOR_\blonde\""""","DO_WITH_HAIR_\highlight_only\""""","COLOR_WHERE_\at_salon\""""","COLOR_WHERE_\at_home\""""","GRAY_LEVEL_\no_gray\""""","DO_WITH_HAIR_\change\""""","NATURAL_HAIR_COLOR_\brown\""""",FREQUENCY_4,"COLOR_WHERE_\salon_and_home\""""",utm_bronto,"GRAY_LEVEL_\less_than_50\""""",FREQUENCY_3,"COMFORT_LEVEL_\comfortable\""""",customer_type_colorbar,"HAIR_COLOR_\brown\""""","HAIR_COLOR_\red\""""",FREQUENCY_12,FREQUENCY_2,"COMFORT_LEVEL_\somewhat_comfortable\""""","DO_WITH_HAIR_\not_sure\""""","NATURAL_HAIR_COLOR_\red\""""","COMFORT_LEVEL_\not_comfortable\""""","COMFORT_LEVEL_\very_comfortable\""""","DO_WITH_HAIR_\touch_up\""""",total_pages,FREQUENCY_other,FREQUENCY_5,pages_notloggedin,"GRAY_LEVEL_\more_than_50\""""",pages_product,purchases,medium_other,latitude,pages_landing,FREQUENCY_6,pages_confirmation,device_tablet,device_desktop,pages_cart,"GRAY_LEVEL_\all\""""",visitor_age,pages_learn-more,customer_type_gloss,utm_direct,medium_none,browser_ie,"GRAY_LEVEL_\not_sure\""""",browser_firefox,pages_color-advisor,pages_shop,pages_checkout,pages_hair-colorist,pages_email-unsubscribe,pages_search,pages_support,pages_share,pages_about,FREQUENCY_7,pages_hair-color,pages_other,pages_faqs,pages_color-translator,utm_google,"DO_WITH_HAIR_\color_and_highlights\""""",utm_facebook,browser_other,medium_organic,country,pages_blog,longitude,medium_cpc,city,revenue,state,browser_safari,browser_facebook,browser_chrome,customer_type_other,pages_shopping,pages_membership,pages_hair-dye-ingredients,medium_email,pages_how-to-color-your-hair,pages_welcome,pages_hair-color-chart,pages_refer,utm_other,customer_type_color,pages_compare-shades,device_mobile,customer_type_rootreboot,pages_signIn,pages_account,medium_fbigan,avg_session_length,FREQUENCY_8,"NATURAL_HAIR_COLOR_\blonde\""""",utm_iterable,total_customer_type,total_order_type,order_type_one-time,visit_count,pages_colorbar,"HAIR_COLOR_\black\""""",order_type_subscription,predicted_future_ltr_10yr
P 86,order_type_subscription,total_customer_type,total_customer_type,"HAIR_COLOR_\blonde\""""",order_type_one-time,revenue,"HAIR_COLOR_\red\""""","HAIR_COLOR_\brown\""""","COLOR_WHERE_\at_home\""""","NATURAL_HAIR_COLOR_\black\""""",visitor_age,purchases,FREQUENCY_6,"DO_WITH_HAIR_\change\""""","COLOR_WHERE_\at_salon\""""","GRAY_LEVEL_\more_than_50\""""",customer_type_colorbar,FREQUENCY_other,"COLOR_WHERE_\salon_and_home\""""",pages_welcome,"GRAY_LEVEL_\less_than_50\""""",FREQUENCY_5,"NATURAL_HAIR_COLOR_\brown\""""",FREQUENCY_7,FREQUENCY_8,utm_iterable,device_mobile,"DO_WITH_HAIR_\highlight_only\""""",FREQUENCY_12,"GRAY_LEVEL_\all\""""",FREQUENCY_4,utm_other,pages_hair-color-chart,pages_how-to-color-your-hair,medium_fbigan,browser_chrome,"DO_WITH_HAIR_\color_and_highlights\""""",total_pages,pages_compare-shades,pages_search,pages_cart,state,pages_membership,pages_signIn,pages_shop,medium_none,utm_direct,pages_colorbar,"HAIR_COLOR_\black\""""",avg_session_length,pages_hair-dye-ingredients,medium_cpc,medium_organic,pages_blog,pages_hair-colorist,customer_type_gloss,browser_ie,browser_firefox,"NATURAL_HAIR_COLOR_\red\""""",customer_type_color,pages_faqs,pages_refer,pages_checkout,city,latitude,browser_safari,pages_confirmation,browser_other,utm_google,"GRAY_LEVEL_\not_sure\""""",pages_landing,FREQUENCY_3,pages_shopping,pages_other,pages_support,pages_about,"GRAY_LEVEL_\no_gray\""""",medium_email,pages_share,country,pages_learn-more,pages_color-translator,pages_email-unsubscribe,device_tablet,pages_color-advisor,"NATURAL_HAIR_COLOR_\blonde\""""",customer_type_rootreboot,pages_account,utm_facebook,browser_facebook,longitude,device_desktop,pages_hair-color,customer_type_other,FREQUENCY_2,medium_other,pages_product,"DO_WITH_HAIR_\not_sure\""""",pages_notloggedin,"COMFORT_LEVEL_\not_comfortable\""""","DO_WITH_HAIR_\touch_up\""""",utm_bronto,visit_count,"COMFORT_LEVEL_\somewhat_comfortable\""""","COMFORT_LEVEL_\very_comfortable\""""","COMFORT_LEVEL_\comfortable\""""",predicted_future_ltr_10yr,order_type_renewal
P 87,pages_welcome,avg_session_length,browser_chrome,browser_firefox,browser_ie,device_mobile,medium_none,utm_direct,visit_count,utm_other,medium_organic,medium_email,utm_bronto,device_tablet,utm_iterable,order_type_renewal,"COMFORT_LEVEL_\very_comfortable\""""",pages_notloggedin,"GRAY_LEVEL_\no_gray\""""","COMFORT_LEVEL_\comfortable\""""","COMFORT_LEVEL_\somewhat_comfortable\""""","HAIR_COLOR_\brown\""""","HAIR_COLOR_\black\""""","NATURAL_HAIR_COLOR_\blonde\""""",customer_type_rootreboot,predicted_future_ltr_10yr,latitude,"COLOR_WHERE_\at_salon\""""","HAIR_COLOR_\red\""""",FREQUENCY_3,"COLOR_WHERE_\salon_and_home\""""",FREQUENCY_2,FREQUENCY_4,FREQUENCY_6,"DO_WITH_HAIR_\highlight_only\""""","GRAY_LEVEL_\less_than_50\""""",customer_type_colorbar,"COMFORT_LEVEL_\not_comfortable\""""",pages_hair-color,"NATURAL_HAIR_COLOR_\brown\""""","COLOR_WHERE_\at_home\""""",FREQUENCY_5,FREQUENCY_8,FREQUENCY_other,pages_email-unsubscribe,"GRAY_LEVEL_\not_sure\""""",utm_google,"NATURAL_HAIR_COLOR_\red\""""",customer_type_color,"DO_WITH_HAIR_\touch_up\""""",FREQUENCY_7,customer_type_other,pages_hair-colorist,"HAIR_COLOR_\blonde\""""",FREQUENCY_12,state,longitude,country,city,order_type_one-time,pages_share,pages_landing,browser_safari,"GRAY_LEVEL_\more_than_50\""""",purchases,"DO_WITH_HAIR_\not_sure\""""",pages_hair-color-chart,pages_refer,pages_color-translator,revenue,visitor_age,"NATURAL_HAIR_COLOR_\black\""""",pages_learn-more,pages_faqs,"DO_WITH_HAIR_\color_and_highlights\""""",pages_about,pages_hair-dye-ingredients,pages_search,pages_how-to-color-your-hair,pages_membership,pages_other,"GRAY_LEVEL_\all\""""","DO_WITH_HAIR_\change\""""",customer_type_gloss,pages_support,pages_shopping,total_pages,total_customer_type,total_order_type,medium_cpc,pages_colorbar,order_type_subscription,pages_compare-shades,pages_checkout,browser_other,pages_blog,medium_other,pages_account,pages_signIn,pages_shop,pages_cart,pages_confirmation,pages_product,pages_color-advisor,device_desktop,utm_facebook,medium_fbigan,browser_facebook
P 88,predicted_future_ltr_10yr,"COLOR_WHERE_\at_home\""""","HAIR_COLOR_\brown\""""","HAIR_COLOR_\blonde\""""","COLOR_WHERE_\at_salon\""""",browser_facebook,"COLOR_WHERE_\salon_and_home\""""","HAIR_COLOR_\red\""""",FREQUENCY_4,FREQUENCY_8,FREQUENCY_6,revenue,"DO_WITH_HAIR_\change\""""",FREQUENCY_5,"HAIR_COLOR_\black\""""",FREQUENCY_3,FREQUENCY_7,"DO_WITH_HAIR_\color_and_highlights\""""",device_desktop,"GRAY_LEVEL_\less_than_50\""""","NATURAL_HAIR_COLOR_\black\""""",utm_bronto,pages_notloggedin,"GRAY_LEVEL_\more_than_50\""""","GRAY_LEVEL_\no_gray\""""",FREQUENCY_2,pages_landing,"NATURAL_HAIR_COLOR_\brown\""""",pages_hair-color,utm_other,FREQUENCY_12,medium_none,utm_direct,medium_organic,pages_welcome,"GRAY_LEVEL_\all\""""",medium_cpc,purchases,medium_email,"NATURAL_HAIR_COLOR_\blonde\""""",FREQUENCY_other,"NATURAL_HAIR_COLOR_\red\""""",pages_product,customer_type_gloss,visitor_age,order_type_subscription,pages_shop,customer_type_other,browser_other,pages_search,pages_colorbar,pages_other,pages_about,pages_learn-more,utm_google,pages_faqs,"GRAY_LEVEL_\not_sure\""""",pages_signIn,latitude,total_pages,pages_share,order_type_one-time,state,pages_membership,pages_checkout,pages_account,country,customer_type_color,"DO_WITH_HAIR_\highlight_only\""""",pages_color-translator,avg_session_length,city,customer_type_rootreboot,pages_email-unsubscribe,pages_support,pages_how-to-color-your-hair,longitude,pages_hair-dye-ingredients,pages_cart,pages_refer,pages_hair-colorist,visit_count,pages_confirmation,pages_hair-color-chart,pages_blog,order_type_renewal,utm_iterable,browser_safari,pages_color-advisor,device_tablet,pages_shopping,customer_type_colorbar,"DO_WITH_HAIR_\not_sure\""""",device_mobile,pages_compare-shades,medium_other,browser_firefox,browser_ie,browser_chrome,utm_facebook,medium_fbigan,"COMFORT_LEVEL_\not_comfortable\""""","DO_WITH_HAIR_\touch_up\""""",total_order_type,total_customer_type,"COMFORT_LEVEL_\somewhat_comfortable\""""","COMFORT_LEVEL_\very_comfortable\""""","COMFORT_LEVEL_\comfortable\"""""
P 89,utm_facebook,browser_chrome,medium_fbigan,browser_ie,medium_other,browser_firefox,device_mobile,predicted_future_ltr_10yr,device_tablet,browser_safari,"HAIR_COLOR_\brown\""""","HAIR_COLOR_\blonde\""""",pages_checkout,"COLOR_WHERE_\at_salon\""""","COLOR_WHERE_\at_home\""""",FREQUENCY_4,"COLOR_WHERE_\salon_and_home\""""",FREQUENCY_3,FREQUENCY_6,FREQUENCY_5,FREQUENCY_8,"HAIR_COLOR_\black\""""","HAIR_COLOR_\red\""""",order_type_renewal,FREQUENCY_2,pages_account,FREQUENCY_7,pages_product,"NATURAL_HAIR_COLOR_\black\""""","DO_WITH_HAIR_\change\""""","DO_WITH_HAIR_\color_and_highlights\""""",pages_colorbar,"GRAY_LEVEL_\more_than_50\""""",visit_count,pages_learn-more,pages_shop,pages_email-unsubscribe,customer_type_gloss,pages_compare-shades,pages_shopping,FREQUENCY_other,"GRAY_LEVEL_\all\""""",pages_notloggedin,pages_hair-dye-ingredients,pages_how-to-color-your-hair,"GRAY_LEVEL_\less_than_50\""""",customer_type_other,pages_refer,pages_faqs,pages_about,pages_hair-color,pages_hair-color-chart,pages_blog,"NATURAL_HAIR_COLOR_\brown\""""",state,customer_type_color,pages_other,pages_cart,"NATURAL_HAIR_COLOR_\red\""""",pages_color-advisor,pages_hair-colorist,pages_search,pages_membership,"GRAY_LEVEL_\no_gray\""""","GRAY_LEVEL_\not_sure\""""",FREQUENCY_12,pages_support,city,"NATURAL_HAIR_COLOR_\blonde\""""",visitor_age,order_type_one-time,pages_color-translator,pages_share,utm_google,latitude,country,customer_type_colorbar,"DO_WITH_HAIR_\highlight_only\""""",pages_signIn,"DO_WITH_HAIR_\not_sure\""""",total_pages,browser_other,longitude,total_customer_type,total_order_type,customer_type_rootreboot,pages_confirmation,order_type_subscription,purchases,utm_bronto,"COMFORT_LEVEL_\not_comfortable\""""",avg_session_length,"DO_WITH_HAIR_\touch_up\""""",revenue,pages_landing,"COMFORT_LEVEL_\somewhat_comfortable\""""",utm_direct,medium_none,utm_iterable,"COMFORT_LEVEL_\very_comfortable\""""","COMFORT_LEVEL_\comfortable\""""",medium_organic,medium_cpc,medium_email,pages_welcome,utm_other,device_desktop,browser_facebook
P 90,total_order_type,total_customer_type,order_type_renewal,"NATURAL_HAIR_COLOR_\brown\""""","DO_WITH_HAIR_\change\""""","NATURAL_HAIR_COLOR_\blonde\""""","GRAY_LEVEL_\less_than_50\""""","GRAY_LEVEL_\more_than_50\""""","NATURAL_HAIR_COLOR_\black\""""",predicted_future_ltr_10yr,"NATURAL_HAIR_COLOR_\red\""""","GRAY_LEVEL_\no_gray\""""","DO_WITH_HAIR_\color_and_highlights\""""","GRAY_LEVEL_\all\""""","DO_WITH_HAIR_\touch_up\""""",browser_facebook,"COLOR_WHERE_\at_salon\""""",FREQUENCY_12,"DO_WITH_HAIR_\not_sure\""""",pages_welcome,FREQUENCY_other,"COLOR_WHERE_\salon_and_home\""""",pages_shopping,device_desktop,visitor_age,"COLOR_WHERE_\at_home\""""",medium_none,utm_direct,utm_other,utm_bronto,medium_cpc,pages_search,avg_session_length,FREQUENCY_2,pages_signIn,customer_type_colorbar,pages_email-unsubscribe,pages_how-to-color-your-hair,pages_shop,pages_blog,total_pages,"GRAY_LEVEL_\not_sure\""""",medium_organic,state,customer_type_color,utm_google,pages_support,pages_cart,customer_type_other,visit_count,pages_membership,pages_colorbar,pages_hair-color-chart,longitude,pages_product,pages_landing,pages_hair-colorist,pages_color-translator,browser_other,pages_about,pages_faqs,browser_safari,customer_type_gloss,city,pages_learn-more,pages_other,medium_email,pages_confirmation,pages_color-advisor,pages_hair-dye-ingredients,utm_iterable,country,pages_share,pages_compare-shades,latitude,medium_other,device_mobile,device_tablet,customer_type_rootreboot,browser_ie,pages_refer,FREQUENCY_3,pages_checkout,browser_firefox,browser_chrome,pages_hair-color,medium_fbigan,FREQUENCY_4,utm_facebook,pages_account,"DO_WITH_HAIR_\highlight_only\""""",pages_notloggedin,FREQUENCY_7,FREQUENCY_5,FREQUENCY_6,"HAIR_COLOR_\black\""""",order_type_one-time,"HAIR_COLOR_\red\""""","COMFORT_LEVEL_\not_comfortable\""""","HAIR_COLOR_\brown\""""",FREQUENCY_8,order_type_subscription,"HAIR_COLOR_\blonde\""""","COMFORT_LEVEL_\somewhat_comfortable\""""","COMFORT_LEVEL_\very_comfortable\""""","COMFORT_LEVEL_\comfortable\""""",purchases,revenue
P 91,"HAIR_COLOR_\blonde\""""","HAIR_COLOR_\brown\""""","HAIR_COLOR_\red\""""",total_order_type,total_customer_type,FREQUENCY_8,"COMFORT_LEVEL_\comfortable\""""","HAIR_COLOR_\black\""""",FREQUENCY_6,FREQUENCY_4,"COMFORT_LEVEL_\very_comfortable\""""",FREQUENCY_5,"COMFORT_LEVEL_\somewhat_comfortable\""""",FREQUENCY_3,order_type_renewal,predicted_future_ltr_10yr,FREQUENCY_7,"COMFORT_LEVEL_\not_comfortable\""""",FREQUENCY_2,pages_checkout,browser_facebook,utm_iterable,"COLOR_WHERE_\at_salon\""""",pages_compare-shades,"COLOR_WHERE_\salon_and_home\""""",pages_color-advisor,"COLOR_WHERE_\at_home\""""","DO_WITH_HAIR_\highlight_only\""""",medium_fbigan,utm_other,pages_shopping,medium_organic,medium_cpc,pages_hair-color-chart,pages_search,device_desktop,pages_how-to-color-your-hair,visit_count,pages_cart,state,pages_refer,pages_hair-dye-ingredients,utm_google,pages_colorbar,pages_blog,customer_type_other,customer_type_gloss,pages_hair-colorist,pages_membership,customer_type_rootreboot,pages_support,avg_session_length,browser_other,city,latitude,device_mobile,medium_none,utm_direct,medium_email,browser_safari,customer_type_colorbar,pages_faqs,pages_color-translator,"GRAY_LEVEL_\not_sure\""""",pages_signIn,country,pages_welcome,pages_other,customer_type_color,pages_share,visitor_age,pages_email-unsubscribe,pages_about,total_pages,longitude,pages_learn-more,FREQUENCY_other,browser_chrome,device_tablet,pages_account,utm_facebook,FREQUENCY_12,browser_firefox,pages_product,pages_hair-color,order_type_one-time,browser_ie,pages_landing,pages_shop,medium_other,pages_notloggedin,pages_confirmation,"DO_WITH_HAIR_\color_and_highlights\""""","GRAY_LEVEL_\no_gray\""""",order_type_subscription,"GRAY_LEVEL_\all\""""","DO_WITH_HAIR_\not_sure\""""","NATURAL_HAIR_COLOR_\red\""""",utm_bronto,"NATURAL_HAIR_COLOR_\black\""""","GRAY_LEVEL_\less_than_50\""""","GRAY_LEVEL_\more_than_50\""""",purchases,"DO_WITH_HAIR_\touch_up\""""","NATURAL_HAIR_COLOR_\blonde\""""","DO_WITH_HAIR_\change\""""","NATURAL_HAIR_COLOR_\brown\""""",revenue
P 92,pages_confirmation,pages_cart,pages_signIn,pages_welcome,visit_count,"HAIR_COLOR_\blonde\""""",pages_shop,pages_color-advisor,"HAIR_COLOR_\brown\""""",pages_product,pages_colorbar,pages_email-unsubscribe,order_type_renewal,pages_compare-shades,"HAIR_COLOR_\red\""""",pages_shopping,"HAIR_COLOR_\black\""""",pages_blog,FREQUENCY_8,FREQUENCY_6,avg_session_length,browser_ie,browser_chrome,FREQUENCY_7,FREQUENCY_3,pages_support,pages_how-to-color-your-hair,total_order_type,total_customer_type,browser_firefox,FREQUENCY_12,FREQUENCY_4,pages_hair-color-chart,FREQUENCY_5,medium_other,customer_type_gloss,device_mobile,pages_about,device_tablet,pages_search,pages_membership,total_pages,pages_hair-dye-ingredients,utm_facebook,FREQUENCY_2,medium_fbigan,"COLOR_WHERE_\at_home\""""",pages_account,browser_other,"COLOR_WHERE_\salon_and_home\""""",utm_bronto,pages_hair-colorist,city,pages_faqs,latitude,"COLOR_WHERE_\at_salon\""""",state,pages_other,customer_type_color,pages_color-translator,utm_google,customer_type_rootreboot,medium_email,pages_notloggedin,utm_iterable,pages_refer,"COMFORT_LEVEL_\very_comfortable\""""",pages_learn-more,browser_safari,"GRAY_LEVEL_\not_sure\""""",FREQUENCY_other,"COMFORT_LEVEL_\not_comfortable\""""",pages_share,order_type_one-time,medium_none,"GRAY_LEVEL_\no_gray\""""",utm_direct,predicted_future_ltr_10yr,longitude,customer_type_other,purchases,medium_cpc,"COMFORT_LEVEL_\somewhat_comfortable\""""",utm_other,country,visitor_age,"DO_WITH_HAIR_\color_and_highlights\""""",medium_organic,"GRAY_LEVEL_\all\""""","COMFORT_LEVEL_\comfortable\""""",pages_landing,pages_hair-color,"GRAY_LEVEL_\more_than_50\""""","DO_WITH_HAIR_\highlight_only\""""","GRAY_LEVEL_\less_than_50\""""",device_desktop,order_type_subscription,"NATURAL_HAIR_COLOR_\black\""""","NATURAL_HAIR_COLOR_\red\""""",revenue,"DO_WITH_HAIR_\not_sure\""""",customer_type_colorbar,"NATURAL_HAIR_COLOR_\blonde\""""",browser_facebook,"DO_WITH_HAIR_\touch_up\""""","NATURAL_HAIR_COLOR_\brown\""""","DO_WITH_HAIR_\change\""""",pages_checkout
P 93,"DO_WITH_HAIR_\change\""""","DO_WITH_HAIR_\touch_up\""""","DO_WITH_HAIR_\not_sure\""""","DO_WITH_HAIR_\highlight_only\""""","DO_WITH_HAIR_\color_and_highlights\""""",FREQUENCY_4,FREQUENCY_5,FREQUENCY_8,FREQUENCY_6,FREQUENCY_3,FREQUENCY_2,customer_type_gloss,FREQUENCY_7,pages_shop,"HAIR_COLOR_\blonde\""""",total_order_type,total_customer_type,pages_welcome,visitor_age,"HAIR_COLOR_\brown\""""",pages_share,medium_email,utm_bronto,"HAIR_COLOR_\black\""""",device_tablet,pages_signIn,pages_confirmation,"HAIR_COLOR_\red\""""",pages_shopping,purchases,customer_type_colorbar,pages_blog,order_type_one-time,browser_other,pages_color-translator,browser_chrome,medium_cpc,pages_refer,pages_compare-shades,utm_direct,pages_hair-dye-ingredients,longitude,utm_other,browser_ie,medium_organic,medium_other,pages_learn-more,city,device_desktop,browser_firefox,medium_none,total_pages,country,browser_safari,pages_about,pages_email-unsubscribe,avg_session_length,utm_facebook,customer_type_other,pages_cart,latitude,pages_faqs,state,order_type_subscription,pages_support,utm_iterable,pages_account,pages_other,pages_hair-colorist,utm_google,order_type_renewal,pages_membership,pages_product,"GRAY_LEVEL_\not_sure\""""",pages_colorbar,pages_hair-color,visit_count,pages_notloggedin,device_mobile,pages_how-to-color-your-hair,pages_search,FREQUENCY_12,pages_hair-color-chart,browser_facebook,pages_landing,customer_type_color,FREQUENCY_other,predicted_future_ltr_10yr,"COLOR_WHERE_\salon_and_home\""""",pages_checkout,revenue,"COLOR_WHERE_\at_salon\""""",customer_type_rootreboot,medium_fbigan,pages_color-advisor,"COMFORT_LEVEL_\not_comfortable\""""","COLOR_WHERE_\at_home\""""","COMFORT_LEVEL_\somewhat_comfortable\""""","COMFORT_LEVEL_\very_comfortable\""""","COMFORT_LEVEL_\comfortable\""""","NATURAL_HAIR_COLOR_\red\""""","GRAY_LEVEL_\all\""""","GRAY_LEVEL_\no_gray\""""","NATURAL_HAIR_COLOR_\black\""""","NATURAL_HAIR_COLOR_\blonde\""""","GRAY_LEVEL_\more_than_50\""""","GRAY_LEVEL_\less_than_50\""""","NATURAL_HAIR_COLOR_\brown\"""""
P 94,"COLOR_WHERE_\at_home\""""","COLOR_WHERE_\at_salon\""""","COLOR_WHERE_\salon_and_home\""""",FREQUENCY_8,FREQUENCY_4,FREQUENCY_6,"DO_WITH_HAIR_\highlight_only\""""",FREQUENCY_5,FREQUENCY_3,FREQUENCY_7,FREQUENCY_2,FREQUENCY_12,FREQUENCY_other,purchases,customer_type_color,customer_type_rootreboot,total_customer_type,total_order_type,"COMFORT_LEVEL_\not_comfortable\""""",pages_shop,utm_facebook,visitor_age,customer_type_other,customer_type_colorbar,medium_email,pages_hair-dye-ingredients,"COMFORT_LEVEL_\somewhat_comfortable\""""",order_type_subscription,utm_bronto,medium_cpc,browser_chrome,pages_blog,pages_support,visit_count,state,pages_account,pages_notloggedin,pages_compare-shades,browser_ie,medium_organic,pages_about,device_tablet,pages_cart,pages_how-to-color-your-hair,browser_other,pages_hair-color,longitude,pages_landing,pages_refer,utm_other,pages_learn-more,browser_safari,order_type_one-time,total_pages,device_mobile,pages_hair-color-chart,browser_firefox,pages_faqs,pages_color-advisor,pages_product,avg_session_length,city,pages_share,"COMFORT_LEVEL_\very_comfortable\""""",medium_fbigan,pages_hair-colorist,utm_iterable,utm_direct,pages_signIn,device_desktop,pages_other,pages_color-translator,pages_colorbar,pages_shopping,pages_membership,pages_email-unsubscribe,latitude,pages_checkout,"COMFORT_LEVEL_\comfortable\""""",country,pages_search,medium_none,order_type_renewal,medium_other,pages_welcome,browser_facebook,utm_google,"GRAY_LEVEL_\not_sure\""""",pages_confirmation,revenue,"DO_WITH_HAIR_\color_and_highlights\""""",customer_type_gloss,"GRAY_LEVEL_\all\""""","NATURAL_HAIR_COLOR_\red\""""","GRAY_LEVEL_\no_gray\""""","DO_WITH_HAIR_\not_sure\""""",predicted_future_ltr_10yr,"GRAY_LEVEL_\less_than_50\""""","NATURAL_HAIR_COLOR_\blonde\""""","GRAY_LEVEL_\more_than_50\""""","DO_WITH_HAIR_\change\""""","NATURAL_HAIR_COLOR_\black\""""","DO_WITH_HAIR_\touch_up\""""","NATURAL_HAIR_COLOR_\brown\""""","HAIR_COLOR_\black\""""","HAIR_COLOR_\red\""""","HAIR_COLOR_\blonde\""""","HAIR_COLOR_\brown\"""""
